Library Name,Street Address,City,State,Zip Code,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Fox Chase Library,501 Rhawn Street,Philadelphia,PA,19111,(215) 685-0547,Open,"Public Computers, Wi-Fi, Summer Learning Programs.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Frankford Library,4634 Frankford Avenue,Philadelphia,PA,19124,(215) 685-1473,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Fumo Family Library,2437 South Broad Street,Philadelphia,PA,19148,(215) 685-1758,Open,"Public Computers, Wi-Fi, Book Drop, Story Times, Board Games.",Printing,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Greater Olney Library,5501 North 5th Street,Philadelphia,PA,19120,(215) 685-2846,Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Haddington Library,446 North 65th Street,Philadelphia,PA,19151,(215) 685-1970,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Haverford Library,5543 Haverford Avenue,Philadelphia,PA,19139,(215) 685-1964,Limited,"Computers, Meeting Spaces, Community Programs.","Printing, Copying",11:00 AM - 3:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Holmesburg Library,7810 Frankford Avenue,Philadelphia,PA,19136,(215) 685-8756,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Independence Library,18 South 7th Street,Philadelphia,PA,19106,(215) 685-1633,Open,"Public Computers, Wi-Fi, Chinese-language Collection.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Joseph E. Coleman Northwest Regional Library,68 West Chelten Avenue,Philadelphia,PA,19144,(215) 685-2150,Open,"Public Computers, Wi-Fi, Large Collection, Children's Department.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Katharine Drexel Library,11099 Knights Road,Philadelphia,PA,19154,(215) 685-9383,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Kensington Library,104 West Dauphin Street,Philadelphia,PA,19133,(215) 685-9996,Open,"Public Computers, Wi-Fi, Story Times, STEM Workshops, English Conversation Groups.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Kingsessing Library,1201 South 51st Street,Philadelphia,PA,19143,(215) 685-2690,Limited,"Public Computers, Wi-Fi, Meeting Rooms.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Lawncrest Library,6098 Rising Sun Avenue,Philadelphia,PA,19111,(215) 685-0549,Open,"Public Computers, Wi-Fi, Meeting Rooms, Services for New Americans.","Printing, Copying",9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Library of Accessible Media for Pennsylvanians (LAMP),"1500 Spring Garden Street, Suite 230",Philadelphia,PA,19130,(215) 683-3213,Open,"All services are free, including audio/braille/large print books, playback equipment, and postage-free mail delivery.",,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Lillian Marrero Library,601 West Lehigh Avenue,Philadelphia,PA,19133,(215) 685-9794,Open,"Public Computers, Wi-Fi, Homework Help, ESL & Spanish Literacy Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Logan Library,1333 Wagner Avenue,Philadelphia,PA,19141,(215) 685-9156,Open,"Public Computers, Wi-Fi, Story Time, Homework Help, Job Assistance, Music/Coding Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Lovett Memorial Library,6945 Germantown Avenue,Philadelphia,PA,19119,(215) 685-2095,Open,"Public Computers, Wi-Fi, Dedicated Children's Library.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Lucien E. Blackwell West Philadelphia Regional Library,125 South 52nd Street,Philadelphia,PA,19139,(215) 685-7424,Open,"Public Computers, Wi-Fi, Large Collection, Gaming Events.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
McPherson Square Library,601 East Indiana Avenue,Philadelphia,PA,19134,(215) 685-9995,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Nicetown-Tioga Library,3720 North Broad Street,Philadelphia,PA,19140,(215) 685-9790,Open,"Public Computers, Wi-Fi, Meeting Spaces, Adult Basic Literacy, STEM classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Northeast Regional Library,2228 Cottman Avenue,Philadelphia,PA,19149,(215) 685-0500,Limited,"Public Computers, Wi-Fi, Large Collection, Homework Help, ESL Classes, Job Search Assistance.","Printing, Copying",Closed,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Oak Lane Library,6614 North 12th Street,Philadelphia,PA,19126,(215) 685-2848,Limited,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Overbrook Park Library,7422 Haverford Avenue,Philadelphia,PA,19151,(215) 685-0182,Limited,"Public Computers, Wi-Fi, Book Drop.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Paschalville Library,6942 Woodland Avenue,Philadelphia,PA,19142,(215) 685-2662,Temporarily Closed,"Job Readiness Lab, One-on-one Assistance, Computer Access, Adult Education, ESL Services.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Philadelphia City Institute,1905 Locust Street,Philadelphia,PA,19103,(215) 685-6621,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Queen Memorial Library,1201 South 23rd Street,Philadelphia,PA,19146,(215) 685-1899,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Ramonita de Rodriguez Library,600 West Girard Avenue,Philadelphia,PA,19123,(215) 686-1768,Open,"Public Computers, Wi-Fi, Toddler Story Time.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Richmond Library,2987 Almond Street,Philadelphia,PA,19134,(215) 685-9992,Open,"Public Computers, Meeting Spaces, Public Restrooms.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
The Rosenbach,2008-2010 Delancey Place,Philadelphia,PA,19103,(215) 732-1600,Open,"Museum and research library offering tours, exhibitions, and reading courses.",Admission fees may apply.,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Roxborough Library,6245 Ridge Avenue,Philadelphia,PA,19128,(215) 685-2550,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
South Philadelphia Library,1700 South Broad Street,Philadelphia,PA,19145,(215) 685-1866,Open,"Public Computers, Wi-Fi, English Conversation Circle, Citizenship Class, Homework Help.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Tacony Library,6742 Torresdale Avenue,Philadelphia,PA,19135,(215) 685-8755,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
"Thomas F. Donatucci, Sr. Library",1935 West Shunk Street,Philadelphia,PA,19145,(215) 685-1755,Limited,"Public Computers, Wi-Fi, Book Drop.","Printing, Copying",Closed,Closed,10:00 AM - 5:00 PM,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Torresdale Library,3079 Holme Avenue,Philadelphia,PA,19136,(215) 685-0494,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Wadsworth Library,1500 Wadsworth Avenue,Philadelphia,PA,19150,(215) 685-9293,Limited,"Public Computers, Wi-Fi, Social Services Support.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Walnut Street West,201 South 40th Street,Philadelphia,PA,19104,(215) 685-7671,Closed,"Public Computers, Wi-Fi, Foreign Film/Language Collections, ESL Groups, Story Times.",Printing,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Welsh Road Library,9233 Roosevelt Boulevard,Philadelphia,PA,19114,(215) 685-0498,Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Whitman Library,200 Snyder Avenue,Philadelphia,PA,19148,(215) 685-1754,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Widener Library,2808 West Lehigh Avenue,Philadelphia,PA,19132,(215) 685-9799,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:30 AM - 6:00 PM,Closed,Closed,10:30 AM - 6:00 PM,10:30 AM - 6:00 PM,10:30 AM - 6:00 PM,10:30 AM - 4:30 PM
Wynnefield Library,5325 Overbrook Avenue,Philadelphia,PA,19131,(215) 685-0298,Open,"Computers, Meeting Spaces, Community Programs.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Wyoming Library,231 East Wyoming Avenue,Philadelphia,PA,19120,(215) 685-9158,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
