Organization,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Food Pantry West Covina (Gods Pantry),Food Bank,"1016 Cypress Street, Covina",Los Angeles,CA,91722,34.0947012,-117.90973,,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry Pomona (Gods Pantry),Food Bank,"250 E. Center St, Pomona",Los Angeles,CA,91767,,,909-766-8038,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Emergency Food Pantry (Loaves And Fishes),Food Bank,"4322 San Fernando Rd #2522, Glendale",Los Angeles,CA,91204,,,213-318-5707,Open,"emergency food, food pantry",,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 19:00 PM,Closed,Closed
Food Pantry (Testimonial Community Love Center),Food Bank,5721 South Western Avenue,Los Angeles,CA,90062,33.9901793,-118.30946,323-291-6753,Open,food pantry,,Closed,Closed,17:30 PM - 19:00 PM,Closed,Closed,Closed,Closed
Food Pantry (Christ The Good Shepherd Episcopal Church),Food Bank,3303 West Vernon Avenue,Los Angeles,CA,90008,34.0041966,-118.32962,323-295-4139,Open,food pantry,,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Food Pantry (Bread of Life Foursquare Church),Food Bank,5179 Washington Boulevard,Los Angeles,CA,90016,34.0414774,-118.35362,323-939-4716,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Family Source Center Food Pantry (El Nido Family Centers),Food Bank,2069 West Slauson Avenue,Los Angeles,CA,90047,33.9894075,-118.31574,323-998-0093,Open,"food pantry, parenting education, counseling, tax preparation, community support services, exercise & fitness, recreation, help fill out forms, more education, tutoring, youth development, help find work, skills & training, advocacy & legal aid, case management",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution (Turning Point),Food Bank,"3756 Santa Rosalia Drive, Suite 617",Los Angeles,CA,90008,34.0088401,-118.33921,323-296-1840,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,3:00 AM - 4:00 AM,3:00 AM - 4:00 AM
NOLP Food Pantry 1 (AIDS Project Los Angeles (APLA) Health),Food Bank,611 South Kingsley Drive,Los Angeles,CA,90005,34.0630741,-118.30313,213-201-1600,Open,"food pantry, nutrition education, personal care items, one-on-one support",,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 20:30 PM,11:30 AM - 19:00 PM,11:30 AM - 19:00 PM
NOLP Food Pantry 2 (AIDS Project Los Angeles (APLA) Health),Food Bank,"7531 Santa Monica Blvd, West Hollywood",Los Angeles,CA,90046,,,323-988-1400,Open,"food pantry, nutrition education, personal care items, one-on-one support",,14:00 PM - 20:00 PM,16:00 PM - 20:00 PM,16:00 PM - 20:00 PM,14:00 PM - 20:00 PM,14:00 PM - 20:00 PM,Closed,Closed
NOLP Food Pantry 3 (AIDS Project Los Angeles (APLA) Health),Food Bank,1679 E. 120th St,Los Angeles,CA,90059,,,323-329-9700,Open,"food pantry, nutrition education, personal care items, one-on-one support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Del Rey Church (DRC)),Food Bank,8505 Saran Drive,Los Angeles,CA,90293,33.9608132,-118.43288,310-823-4275,Open,food pantry,,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Support Services - Homeless Outreach (Bright Path Center),Food Bank,5800 South Eastern Avenue,Los Angeles,CA,90040,33.9853955,-118.16146,,Open,"food pantry, help find housing, clothing, personal hygiene, navigating the system",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Food Truck 1 (The Dream Center),Food Bank,293 Cardinal Street,Los Angeles,CA,90012,,,213-273-7042,Open,food pantry,,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
Food Truck 2 (The Dream Center),Food Bank,1337 W 5th St,Los Angeles,CA,90017,,,213-273-7042,Open,food pantry,,Closed,Closed,Closed,22:00 PM - 00:00 AM,Closed,Closed,Closed
Food and Clothing Giveaways (Stay Free Ministries Outreach),Food Bank,,Los Angeles,CA,,,,,Open,"food pantry, clothing",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Thursday Food Bank (Central City Neighborhood Partners),Food Bank,501 South Bixel Street,Los Angeles,CA,90017,34.0548809,-118.26182,213-482-8618,Open,food pantry,,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
Food Pantry (World Harvest Food Bank),Food Bank,3100 Venice Boulevard,Los Angeles,CA,90019,34.0432466,-118.31811,213-746-2227,Open,,food pantry,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
"Emergency Assistance Canoga Park (Catholic Charities of Los Angeles, Inc.)",Food Bank,"21600 Hart Street, Canoga Park",Los Angeles,CA,91303,,,213-251-3549,Open,"emergency payments, help pay for housing, help pay for utilities, emergency food, food pantry, diapers & formula, clothing, transportation, help find healthcare, navigating the system",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Emergency Assistance El Monte (Catholic Charities of Los Angeles, Inc.)",Food Bank,"4171 North Tyler Ave, El Monte",Los Angeles,CA,91731,,,626-575-7652,Open,"emergency payments, help pay for housing, help pay for utilities, emergency food, food pantry, diapers & formula, clothing, transportation, help find healthcare, navigating the system",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry Services (Help Me Help You),Food Bank,,Los Angeles,CA,,,,562-612-5001,Open,"emergency food, food pantry, navigating the system, support network",,Closed,Closed,Closed,Closed,11:00 AM - 16:30 PM,Closed,Closed
Food Pantry (Toberman Neighborhood Center),Food Bank,131 North Grand Avenue,Los Angeles,CA,90731,33.7438507,-118.29031,310-832-1145,Open,food pantry,,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
FISH of West Valley Community Resource Center (Congregational Church of Chatsworth),Food Bank,20440 Lassen Street,Los Angeles,CA,91311,34.2496062,-118.57886,818-280-9463,Open,"food pantry, emergency food, help find missing persons, baby supplies, clothing, home goods, medical supplies, personal safety, toys & gifts, personal hygiene, help find healthcare, counseling, animal welfare, support network, preschool, translation & interpretation",,11:30 AM - 20:30 PM,11:30 AM - 22:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,12:00 PM - 18:00 PM,Closed
"Family Food Program Monrovia (Foothill Unity Center, Inc.)",Food Bank,"790 West Chestnut Avenue, Monrovia",Los Angeles,CA,91016,34.1422118,-118.01577,626-358-3486,Open,"food delivery, food pantry",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Family Food Program Pasadena (Foothill Unity Center, Inc.)",Food Bank,"191 North Oak Avenue, Pasadena",Los Angeles,CA,91107,,,626-584-7420,Open,"food delivery, food pantry",,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 23:00 PM,11:00 AM - 20:00 PM,Closed,Closed
HopeNet Food Pantry (LA First Church of the Nazarene),Food Bank,3401 West 3rd Street,Los Angeles,CA,90020,34.0691996,-118.28995,213-385-6345,Open,food pantry,,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,Closed,Closed,Closed
Food Pantry (Aaron Community Cultural Center (ACCC)),Food Bank,1010 West 108th Street,Los Angeles,CA,90044,33.9379124,-118.29252,800-527-4184,Open,food pantry,,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,11:00 AM - 21:00 PM,Closed,Closed,Closed
The Village (Im A Movement Not A Monument),Food Bank,,Los Angeles,CA,,,,310-493-8607,Open,"food pantry, clothing, personal care items",,8:00 AM - 20:00 PM,8:00 AM - 20:00 PM,8:00 AM - 20:00 PM,8:00 AM - 20:00 PM,8:00 AM - 20:00 PM,Closed,Closed
Homeless Outreach Program (My Friends House LA),Food Bank,540 San Pedro Street,Los Angeles,CA,90013,34.0430545,-118.24435,213-537-0105,Open,"food pantry, clothing, personal care items, spiritual support",,11:00 AM - 20:00 PM,Closed,Closed,Closed,Closed,Closed,Closed
Pantry Services (St. Francis Center (SFC)),Food Bank,1835 South Hope Street,Los Angeles,CA,90015,,,213-747-5347,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry Locator (Los Angeles Regional Food Bank),Food Bank,1734 East 41st Street,Los Angeles,CA,90058,,,323-234-3030,Open,"emergency food, food pantry, navigating the system",,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
Food Pantry (North Valley Caring Services (NVCS)),Food Bank,15453 Rayen Street,Los Angeles,CA,91343,34.2322081,-118.46913,818-891-0481,Open,food pantry,,22:00 PM - 23:00 PM,Closed,Closed,Closed,Closed,Closed,Closed
Food Pantry (Salvation Army Southern California - Inglewood Citadel Corps),Food Bank,"324 E Queen St, Inglewood",Los Angeles,CA,90301,33.9626964,-118.35087,310-677-3375,Open,"emergency food, food pantry",,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,8:00 AM - 17:00 PM,Closed,Closed
Food Pantry (Bienestar),Food Bank,5326 East Beverly Boulevard,Los Angeles,CA,90022,34.0300336,-118.15062,866-590-6411,Open,"emergency food, food pantry, personal care items",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Faith Tabernacle Church of West Lost Angeles),Food Bank,2147 Purdue Avenue,Los Angeles,CA,90025,34.0370721,-118.44367,,Open,food pantry,,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed,Closed
Food Distribution Saturday 1 (Champions Of Caring Connections),Food Bank,8204 S Avalon Boulevard,Los Angeles,CA,90003,33.9645246,-118.26483,310-635-9536,Open,food pantry,,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,9:00 AM - 18:00 PM,Closed,Closed
Food Distribution Saturday 2 (Champions Of Caring Connections),Food Bank,"1019 N Harris Avenue, Compton",Los Angeles,CA,90221,,,310-635-9536,Open,food pantry,,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed,Closed
Food Distribution Saturday 3 (Champions Of Caring Connections),Food Bank,"4323 E Rosecrans Avenue, Compton",Los Angeles,CA,90221,,,310-635-9536,Open,food pantry,,13:00 PM - 22:00 PM,13:00 PM - 22:00 PM,13:00 PM - 22:00 PM,13:00 PM - 22:00 PM,13:00 PM - 22:00 PM,Closed,Closed
Food Distribution Saturday 4 (Champions Of Caring Connections),Food Bank,"1601 E Alondra Blvd, Compton",Los Angeles,CA,90221,,,310-635-9536,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution Wednesday 1 (Champions Of Caring Connections),Food Bank,"1728 E Compton Blvd, Compton",Los Angeles,CA,90221,,,310-635-9536,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution Wednesday 2 (Champions Of Caring Connections),Food Bank,333 E 79th Street,Los Angeles,CA,90003,,,310-635-9536,Open,food pantry,,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,11:00 AM - 22:00 PM,Closed,Closed
Food Distribution Wednesday 3 (Champions Of Caring Connections),Food Bank,11328 S Central Ave,Los Angeles,CA,90059,,,310-635-9536,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Pop-Up Pantries (Westside Food Bank),Food Bank,,Los Angeles,CA,,,,,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (St Johns Cathedral),Food Bank,514 West Adams Boulevard,Los Angeles,CA,90007,34.0274558,-118.27559,213-747-6285,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Family Health Care Resources (FHCR)),Food Bank,3444 Whittier Boulevard,Los Angeles,CA,90023,34.0269177,-118.19969,213-703-6295,Open,food pantry,,13:00 PM - 21:00 PM,13:00 PM - 21:00 PM,13:00 PM - 21:00 PM,13:00 PM - 21:00 PM,13:00 PM - 20:00 PM,14:00 PM - 20:00 PM,14:00 PM - 20:00 PM
Food Pantry (Founders Metropolitan Community Church (MCC)),Food Bank,4607 Prospect Avenue,Los Angeles,CA,90027,34.1020873,-118.2898,323-669-3434,Open,food pantry,,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Food Pantry (Wilshire Presbyterian Church) ,Food Bank,309 S Oxford Ave,Los Angeles,CA,90020,,,213-387-5387,Open,food pantry,,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Food Pantry (St. James Episcopal Church),Food Bank,3903 Wilshire Boulevard,Los Angeles,CA,90010,34.062041,-118.31208,213-388-3417,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
"Food Distribution Program (Prep Ed Programs, Inc.)",Food Bank,,Los Angeles,CA,,,,562-270-4833,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Holman United Methodist Church),Food Bank,3320 West Adams Boulevard,Los Angeles,CA,90018,34.0314207,-118.32108,,Temporarily closed,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Hawaiian Gardens Food Bank),Food Bank,"22121 Norwalk Boulevard, Hawaiian Gardens",Los Angeles,CA,90716,,,562-425-4001,Open,food pantry,,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,12:00 PM - 20:30 PM,Closed,Closed
Food Pantry 1 (Shepherds Pantry),Food Bank,"657 E Arrow Highway, Glendora",Los Angeles,CA,91740,,,626-852-7630,Open,"food pantry, baby supplies",,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,10:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Food Pantry 2 (Shepherd’s Pantry),Food Bank,"1418 Arrow Highway, Irwindale",Los Angeles,CA,91706,,,626-305-392,Open,"food pantry, baby supplies",,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,11:30 AM - 20:00 PM,Closed,Closed
Food Pantry (Elim Community Food Pantry),Food Bank,"550 South Hollenbeck Avenue, Covina",Los Angeles,CA,91723,34.0800111,-117.89859,626-915-5300,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Valley Crossroads Pantry and Boutique (Valley Crossroads Seventh-Day Adventist Church),Food Bank,11350 Glenoaks Boulevard,Los Angeles,CA,91331,34.2772051,-118.41485,818-896-4488,Open,"disaster response, food pantry, baby supplies, clothing, personal care items",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Vida Sana (Pico Union Project),Food Bank,1153 Valencia Street,Los Angeles,CA,90015,34.0457102,-118.27428,213-915-0084,Open,food pantry,,12:00 PM - 19:00 PM,11:00 AM - 19:00 PM,11:00 AM - 20:00 PM,11:00 AM - 19:00 PM,12:00 PM - 19:00 PM,Closed,Closed
Food@First (First Congregational Church of Los Angeles),Food Bank,540 South Commonwealth Avenue,Los Angeles,CA,90020,34.0640834,-118.28518,213-385-341,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry Program (Shalom Center),Food Bank,981 South Western Avenue #100,Los Angeles,CA,90006,34.0532855,-118.30935,213-380-700,Open,food pantry,,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Food Distribution (Collins & Katz Family YMCA),Food Bank,1466 S Westgate Ave,Los Angeles,CA,90025,,,,Open,"food pantry, meals",,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Food Distribution (Crenshaw Family YMCA),Food Bank,3820 Santa Rosalia Drive,Los Angeles,CA,90008,,,,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution (Culver-Palms Family YMCA),Food Bank,"4500 Sepulveda Blvd, Culver City",Los Angeles,CA,90230,,,,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution (Mid Valley Family YMCA),Food Bank,"6901 Lennox Ave, Van Nuys",Los Angeles,CA,91405,,,,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution (Palisades-Malibu YMCA),Food Bank,"821 Via de la Paz, Pacific Palisades",Los Angeles,CA,90272,,,,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution (Weingart East Los Angeles YMCA),Food Bank,2900 Whittier Blvd,Los Angeles,CA,90023,,,,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Distribution (Weingart YMCA Wellness & Aquatic Center),Food Bank,9900 S Vermont Ave,Los Angeles,CA,90044,,,,Open,"food pantry, meals",,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Food Distribution (West Valley Family YMCA),Food Bank,"18810 Vanowen Street, Reseda",Los Angeles,CA,91335,,,,Open,"food pantry, meals",,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
HopeNet Food Pantry (Islamic Center of Southern California (ICSC)),Food Bank,434 S Vermont Ave,Los Angeles,CA,90020,34.0664608,-118.29126,,Open,food pantry,,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,12:00 PM - 20:00 PM,Closed,Closed
Mobile Food Distribution (Let’s Be Whole),Food Bank,,Los Angeles,CA,,,,323-371-6323,Open,food pantry,,Closed,11:30 AM - 18:00 PM,Closed,Closed,11:30 AM - 18:00 PM,Closed,Closed
Food Distribution (Seeds of Hope),Food Bank,840 Echo Park Avenue,Los Angeles,CA,90026,34.073441,-118.25909,213-482-2040,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Community Center (Salvation Army Southern California - Los Angeles Central Corps),Food Bank,1532 West 11th Street,Los Angeles,CA,90015,34.0471649,-118.27454,213-896-9178,Open,"help pay for utilities, food pantry, meals, counseling, family counseling, after school care, day camp, recreation, navigating the system, spiritual support",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Supplemental Food Program (SFP) (All Peoples Community Center),Food Bank,822 East 20th Street,Los Angeles,CA,90011,34.0257438,-118.25659,213-747-6357,Open,"food pantry, navigating the system, community gardens, help find work",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Immanuel Presbyterian Church),Food Bank,663 South Berendo Street,Los Angeles,CA,90005,34.0612132,-118.29441,213-389-3191,Open,"food pantry, meals",,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
Food Pantry (Silverlake Community Church),Food Bank,2930 Hyperion Avenue,Los Angeles,CA,90027,34.1097407,-118.27047,323-663-3151,Open,food pantry,,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,11:00 AM - 20:00 PM,Closed,Closed
