Organization,,Category,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Status,Free Services,Paid Services,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bustleton Library,1,Library,10199 Bustleton Avenue,Philadelphia,PA,19116,40.1076881,-75.0262245,(215) 685-0472,Limited,"Public Computers, Wi-Fi, Intermediate English Classes.","Printing, Copying",Closed,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Cecil B. Moore Library,1,Library,2320 Cecil B. Moore Avenue,Philadelphia,PA,19121,39.9804771,-75.1735413,(215) 685-2766,Open,"Public Computers, Wi-Fi, Meeting Rooms.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Charles L. Durham Library,1,Library,3320 Haverford Avenue,Philadelphia,PA,19104,39.9638677,-75.1911396,(215) 685-7436,Temporarily Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Charles Santore Library,1,Library,932 South 7th Street,Philadelphia,PA,19147,39.937091,-75.1552606,(215) 686-1766,Open,"Public Computers, Wi-Fi, Story Times, GED & ESL Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Chestnut Hill Library,1,Library,8711 Germantown Avenue,Philadelphia,PA,19118,40.077857,-75.2093198,(215) 685-9290,Open,"Public Computers, Wi-Fi, Meeting Room.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Church-Based Shelters (Bethesda Project),1,Temporary Shelter,2212 Spruce Street,Philadelphia,PA,19103,39.9484079,-75.1781384,215-985-1600,Open,"Temporary Shelter, Meals, Case Management, One-on-One Support",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
"City of Philadelphia, Office of Homeless Services-Prevention, Diversion and Intake (City of Philadelphia-Office of Homeless Services)",1,Temporary Shelter,804 North Broad Street,Philadelphia,PA,19130,39.968264,-75.1606146,215-686-7177,Open,"Emergency Payments, Help Pay for Housing, Help Pay for Utilities, Temporary Shelter, Financial Assistance, Financial Education",,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,Closed,Closed
Coffee House (Catholic Social Services of the Archdiocese of Philadelphia-Saint Johns Hospice),1,Temporary Shelter,1221 Race St,Philadelphia,PA,19103,39.9561184,-75.1599411,215-563-7763,Open,"Temporary Shelter, Meals, Personal Hygiene",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Community Services Division (CORA Services),1,Mental Health,8540 Verree Rd,Philadelphia,PA,19111,40.0815991,-75.0681783,215-342-7660,Open,,"Outpatient Treatment, Counseling, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Community Support Services (Better Living Center),1,Food Bank,"1917 W 6th St, Chester",Philadelphia,PA,19013,39.8383841,-75.3834925,610-497-1082,Open,"Emergency Food, Health Education, Understand Mental Health, Community Support Services, Computer or Internet Access, After School Care, Day Camp, Navigating the System, Help Find Work, Skills & Training",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Comprehensive Shelters (Salvation Army Eastern Pennsylvania and Delaware),1,Temporary Shelter,5501 Market Street,Philadelphia,PA,19139,39.9610183,-75.2312699,215-474-1010,Open,"Temporary Shelter, Meals, Community Support Services, Spiritual Support",,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM
Crisis Care Services (Covenant House),1,Temporary Shelter,31 East Armat Street,Philadelphia,PA,19144,40.0356379,-75.1733708,215-951-5411,Open,"Temporary Shelter, Meals, Clothing, Home Goods, Medical Care, Personal Hygiene, Physical Safety, Advocacy & Legal Aid",,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM,00:00 AM - 11:59 PM
David Cohen Ogontz Library,1,Library,6017 Ogontz Avenue,Philadelphia,PA,19141,40.0471142,-75.1507506,(215) 685-3566,Open,"Public Computers, Wi-Fi, Chess Club.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Drop In Center (Prevention Point Philadelphia),1,Temporary Shelter,2915 Kensington Avenue,Philadelphia,PA,19124,39.9928015,-75.1196609,215-634-5272,Open,"Weather Relief, Meals, Addiction & Recovery, Medical Care, Navigating the System, Case Management, One-on-One Support, Advocacy & Legal Aid",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Drug and Alcohol Services (Child Guidance Resource Centers),1,Mental Health,2901 Island Avenue,Philadelphia,PA,19153,39.9028317,-75.239064,484-454-8720,Open,,"Addiction and Recovery, Substance Abuse Counseling, Group Therapy, Family Counseling, Navigating the System, Outpatient, Treatment, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Dwight Evans Library of West Oak Lane,1,Library,2000 East Washington Lane,Philadelphia,PA,19138,40.0671317,-75.1575751,(215) 685-2843,Open,"Computer Labs, Meeting Spaces, Computer/Sketch/Health Classes.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Early Intervention Program (Wedge Recovery Center),1,Mental Health,3609 North Broad Street,Philadelphia,PA,19140,40.007973,-75.151088,215-276-3922,Open,,"Drug Testing, Substance Abuse Counseling, Parenting Education, Counseling, Group Therapy, Family Counseling, Understand Mental Health, Outpatient, Treatment, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,9:00 AM - 1:00 PM  EDT,Closed,Open
Eastwick Library,1,Library,2851 Island Avenue,Philadelphia,PA,19153,39.9059528,-75.2403369,(215) 685-4170,Limited,"Public Computers, Wi-Fi, Story Time, After-school Programs.","Printing, Copying, Scanning",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Emergency Housing for Veterans (Fresh Start Foundation),1,Food Bank,"1400 Blackhorse Hill Road, Coatesville",Philadelphia,PA,19320,39.9971936,-75.7973274,610-380-1285,Open,"Temporary Shelter, Short-Term Housing, Mental Health Care, Navigating the System, Case Management",,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM,0:00 AM - 11:59 PM
Emergency Shelter (Families Forward),1,Temporary Shelter,111 North 49th Street,Philadelphia,PA,19139,39.9645958,-75.2180809,215-240-4800,Open,"Temporary Shelter, Meals, Daily Life Skills, Parenting Education, Financial Education, Navigating the System, Skills & Training, Computer Class",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Emergency Shelter (HELP USA Pennsylvania),1,Temporary Shelter,4910 Wyalusing Avenue,Philadelphia,PA,19131,39.9699546,-75.2192132,212-400-7000,Open,"Temporary Shelter, Skilled Nursing, Prevent & Treat, Navigating the System, Help Find Work, Navigating the System",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Falls of Schuylkill Library,1,Library,3501 Midvale Avenue,Philadelphia,PA,19129,40.0143042,-75.1923769,(215) 685-2093,Limited,"Author Talks, Workshops, Story Times.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Fishtown Community Library,1,Library,1217 East Montgomery Avenue,Philadelphia,PA,19125,39.9719319,-75.1271806,(215) 685-9990,Temporarily Closed,"Public Computers, Wi-Fi, Cooking Classes, Adult Education.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Food Assistance and Relief (Jewish Relief Agency),1,Food Bank,10980 Dutton Road,Philadelphia,PA,19154,40.0913701,-74.9877659,610-660-0190,Open,"Emergency Food, Food Delivery, Baby Supplies, Personal Care Items",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Baskets (St. Barbaras Roman Catholic Church),1,Food Bank,5359 Lebanon Avenue,Philadelphia,PA,19131,39.9879752,-75.2314405,215-473-1044,Temporarily Closed,Emergency Food,,Closed,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,6:30 PM - 8:00 PM,12:00 PM - 6:00 PM,Closed
Food Cupboard (Neighbor to Neighbor Community Development Corporation Inc),1,Food Bank,"814 Clifton Avenue, Sharon Hill",Philadelphia,PA,19079,39.8999092,-75.2691693,610-461-8140,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Distribution (Kingdom Life Christian Center),1,Food Bank,6325 Frankford Avenue,Philadelphia,PA,19149,40.0277668,-75.0588362,267-343-5183,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Distribution (The Greater Philadelphia Community Alliance),1,Food Bank,2029 South 8th Street,Philadelphia,PA,19148,39.923234,-75.1595316,215-468-1645,Open,"Emergency Food, Food Pantry",,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,Closed,Closed
Food Pantry (Community of Compassion CDC),1,Food Bank,6150 Cedar Avenue,Philadelphia,PA,19143,39.9526461,-75.2465832,267-767-1216,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Pantry (East Park Revitalization Alliance),1,Food Bank,1737 North 31st Street,Philadelphia,PA,19121,39.9831003,-75.1847568,215-235-6001,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Pantry (Episcopal Community Services),1,Food Bank,6006 West Girard Avenue,Philadelphia,PA,19151,39.9696013,-75.23993,215-528-5400,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Pantry (Rock Ministries of Philadelphia),1,Food Bank,2755 Kensington Avenue,Philadelphia,PA,19124,39.9907975,-75.1232852,215-739-3927,Open,"Emergency Food, Food Pantry, Clothing, Navigating the System, Spiritual Support, Help Find Housing, Addiction & Recovery",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Food Pantry (The Salvation Army of Greater Philadelphia),1,Food Bank,1340 Brown Street,Philadelphia,PA,19123,39.9677192,-75.159372,570-421-3050,Open,Emergency Food,,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,Closed,Closed,Closed
Fox Chase Library,1,Library,501 Rhawn Street,Philadelphia,PA,19111,40.0767175,-75.0819609,(215) 685-0547,Open,"Public Computers, Wi-Fi, Summer Learning Programs.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Frankford Library,1,Library,4634 Frankford Avenue,Philadelphia,PA,19124,40.0157688,-75.0850782,(215) 685-1473,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Free Food for the People (The West Philly Bunny Hop),1,Food Bank,6250 Baltimore Avenue,Philadelphia,PA,19050,39.9420674,-75.2498131,484-238-0437,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Fumo Family Library,1,Library,2437 South Broad Street,Philadelphia,PA,19148,39.919932,-75.1703029,(215) 685-1758,Open,"Public Computers, Wi-Fi, Book Drop, Story Times, Board Games.",Printing,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Good Shepherd (Catholic Social Services of the Archdiocese of Philadelphia - Saint Johns Hospice),1,Mental Health,1221 Race St,Philadelphia,PA,19103,39.9561184,-75.1599411,215-563-7763,Open,"Residential Housing, Short-Term Housing, Sober Living, Addiction & Recovery, Substance Abuse Counseling, Mental Health Care, Counseling, Case Management, Outpatient, Treatment, Group Therapy, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Good Shepherd (Catholic Social Services of the Archdiocese of Philadelphia and Saint Johns Hospice),1,Food Bank,1221 Race St.,Philadelphia,PA,19103,39.9561184,-75.1599411,215-563-7763,Open,"Residential Housing, Short-Term Housing, Sober Living, Addiction & Recovery, Substance Abuse Counseling, Mental Health Care, Counseling, Case Management",,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Grab and Go Meals (Old Pine Community Center),1,Food Bank,401 Lombard Street,Philadelphia,PA,19146,39.9430397,-75.1495234,215-627-2493,Open,"Emergency Food, Food Pantry",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Greater Olney Library,1,Library,5501 North 5th Street,Philadelphia,PA,19120,40.0350162,-75.1305745,(215) 685-2846,Closed,"Public Computers, Wi-Fi.","Printing, Copying",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Haddington Library,1,Library,446 North 65th Street,Philadelphia,PA,19151,39.9706373,-75.2496695,(215) 685-1970,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Halfway House-(2B) (Self Help Movement),1,Mental Health,2600 Southampton Rd,Philadelphia,PA,19116,40.1154488,-74.990509,215-677-7778,Open,,"Addiction and Recovery, Residential Treatment, Substance Abuse Counseling, Navigating the System, One-On-One Support, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Haverford Library,1,Library,5543 Haverford Avenue,Philadelphia,PA,19139,39.9677056,-75.2316326,(215) 685-1964,Limited,"Computers, Meeting Spaces, Community Programs.","Printing, Copying",11:00 AM - 3:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Holmesburg Library,1,Library,7810 Frankford Avenue,Philadelphia,PA,19136,40.0404711,-75.0317755,(215) 685-8756,Open,"Public Computers, Wi-Fi.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Housing First Treatment Teams and the Housing First Model (Horizon House),1,Mental Health,5901 Market Street,Philadelphia,PA,19139,39.9620586,-75.239132,215-386-3838,Open,,"Daily Life Skills, Prescription Assistance, Prevent & Treat, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Human Services (African Family Health Organization),1,Temporary Shelter,2420 South 45th Street,Philadelphia,PA,19143,39.9454475,-75.2085961,215-546-1232,Open,"Temporary Shelter, Food Pantry, Mental Health Care, Navigating the System, Case Management",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Independence Library,1,Library,18 South 7th Street,Philadelphia,PA,19106,39.9502748,-75.1524406,(215) 685-1633,Open,"Public Computers, Wi-Fi, Chinese-language Collection.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Intensive Outpatient Program (Casa de Consejeria),1,Mental Health,616 West Lehigh Avenue,Philadelphia,PA,19133,39.9922488,-75.1428308,215-634-3259,Open,,"Addiction and Recovery, Outpatient Treatment, Substance Abuse Counseling, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 8:00 PM,8:00 AM - 4:00 PM,8:00 AM - 8:00 PM,8:00 AM - 4:00 PM,Closed,Closed,Closed
Intensive Outpatient Program at Mazzoni Center (Mazzoni Center),1,Mental Health,1348 Bainbridge Street,Philadelphia,PA,19146,39.9425996,-75.1651396,215-563-0652,Open,,"Addiction and Recovery, Substance Abuse Counseling, Peer Recovery Coaching, Support Network, Peer Support, Support Groups, Outpatient, Treatment, Group Therapy, Individual Counseling",8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Intensive Outpatient Programs and Day Treatment-Youth (Youth Advocate Programs of Pennsylvania),1,Food Bank,900 West Jefferson Street,Philadelphia,PA,19121,39.9740456,-75.1507073,215-599-2174,Open,"Addiction & Recovery, Substance Abuse Counseling, Counseling, Individual Counseling",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed
Intensive Outpatient Programs or Day Treatment - Youth (Youth Advocate Programs of Pennsylvania),1,Mental Health,900 West Jefferson Street,Philadelphia,PA,19121,39.9740456,-75.1507073,215-599-2174,Open,"Addiction and Recovery, Substance Abuse Counseling, Counseling, Individual Counseling, Outpatient, Treatment, Group Therapy",,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,Closed,Closed
Joseph E. Coleman Northwest Regional Library,1,Library,68 West Chelten Avenue,Philadelphia,PA,19144,40.0340605,-75.1760528,(215) 685-2150,Open,"Public Computers, Wi-Fi, Large Collection, Childrens Department.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Katharine Drexel Library,1,Library,11099 Knights Road,Philadelphia,PA,19154,40.0839977,-74.9734789,(215) 685-9383,Open,"Public Computers, Wi-Fi.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
Kensington Library,1,Library,104 West Dauphin Street,Philadelphia,PA,19133,39.9846415,-75.1326654,(215) 685-9996,Open,"Public Computers, Wi-Fi, Story Times, STEM Workshops, English Conversation Groups.","Printing, Copying",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
Kingsessing Library,1,Library,1201 South 51st Street,Philadelphia,PA,19143,39.942075,-75.2182486,(215) 685-2690,Limited,"Public Computers, Wi-Fi, Meeting Rooms.","Printing, Copying",11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,Closed
KITHS Kitchen and Garden (KITHS),1,Food Bank,4923 Old York Road,Philadelphia,PA,19141,40.0280863,-75.1461026,215-278-6222,Open,"Emergency Food, Food Pantry, Nutrition Education, Navigating the System",,Closed,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,6:30 PM - 8:00 PM,12:00 PM - 6:00 PM,Closed
Lawncrest Library,1,Library,6098 Rising Sun Avenue,Philadelphia,PA,19111,40.0460458,-75.1001677,(215) 685-0549,Open,"Public Computers, Wi-Fi, Meeting Rooms, Services for New Americans.","Printing, Copying",9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Closed,Closed
Library of Accessible Media for Pennsylvanians (LAMP),1,Library,"1500 Spring Garden Street, Suite 230",Philadelphia,PA,19130,39.96212975,-75.16400861,(215) 683-3213,Open,"All services are free, including audio/braille/large print books, playback equipment, and postage-free mail delivery.",,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed
